Date,Close,Daily_Return_Pct,Intraday_Range_Pct,MA_5,MA_10,MA_20,Volatility_10D,Drawdown_Pct
2026-03-02,24865.7,,1.5517359253911958,,,,,0.0
2026-03-04,24480.5,-1.5491218827541564,1.2134147586854815,,,,,-1.5491218827541564
2026-03-05,24765.9,1.165825861399905,1.311480705324657,,,,,-0.401356084888016
2026-03-06,24450.45,-1.2737271813259343,1.1658272138140575,,,,,-1.6699710846668325
2026-03-09,24028.05,-1.7275755660938863,1.5829416036673896,24518.120000000003,,,,-3.368696638341173
2026-03-10,24261.6,0.9719889878704313,0.9226514327167151,24397.3,,,,-2.429451010830186
2026-03-11,23866.85,-1.6270567481122433,1.9470520827004851,24274.57,,,,-4.016979212328642
2026-03-12,23639.15,-0.9540429507873815,1.1711504009239002,24049.219999999998,,,,-4.932698456106199
2026-03-13,23151.1,-2.0645835404403456,1.6431184695327716,23789.35,,,,-6.895442316122214
2026-03-16,23408.8,1.113122054675597,2.3356600936399987,23665.5,24091.81,,,-5.859074950634813
2026-03-17,23581.15,0.7362615768429004,1.3154574734480748,23529.41,23963.355,,21.29687116305396,-5.165951491411858
2026-03-18,23777.8,0.8339287948212704,1.025326144555002,23511.6,23893.085,,21.434726256199998,-4.375103053603969
2026-03-19,23002.15,-3.262076390582802,1.9491656214745239,23384.2,23716.71,,24.379804759953405,-7.494460240411483
2026-03-20,23114.5,0.4884326030392794,1.2007614268100237,23376.879999999997,23583.115,,24.869947614158146,-7.042633024608202
2026-03-23,22512.65,-2.6037768500291936,1.6899387677594628,23197.65,23431.575,,26.375797400789384,-9.46303542631014
2026-03-24,22912.4,1.7756683464629885,1.8902428379392753,23063.9,23296.655,,28.006494255505356,-7.855399204526714
2026-03-25,23306.45,1.7198111066496713,1.7254880086842819,22969.629999999997,23240.615,,29.427487676769786,-6.270686125868163
2026-03-27,22819.6,-2.0889067189554966,1.6720275552595107,22933.120000000003,23158.659999999996,,30.740413419124945,-8.228604061015787
2026-03-30,22331.4,-2.139388946344356,1.926659322747342,22776.5,23076.690000000002,,30.860306998167967,-10.191951161640333
2026-04-01,22679.4,1.5583438566323604,1.4228771484254463,22809.85,23003.75,23547.78,31.522226026109145,-8.792432949806361
2026-04-02,22713.1,0.14859299628737777,2.640546644887752,22769.99,22916.945,23440.15,31.11769738363553,-8.65690489308566
2026-04-06,22968.25,1.123360527625028,1.9827370391736325,22702.35,22835.99,23364.5375,31.459877278558945,-7.630792617943594
2026-04-07,23123.65,0.6765861569775655,1.8792448424016073,22763.16,22848.14,23282.425,27.083147197004152,-7.0058353474867
2026-04-08,23997.35,3.7783827380192925,0.8194654826470483,23096.35,22936.425,23259.77,32.925783856316635,-3.4921598828908995
2026-04-09,23775.1,-0.926143928392098,1.2952626907983595,23315.489999999998,23062.670000000002,23247.1225,29.551928605259565,-4.385961384557858
2026-04-10,24050.6,1.1587753574117565,0.9051749228709502,23582.99,23176.489999999998,23236.572500000002,29.000015675810253,-3.278009466855958
2026-04-13,23842.65,-0.8646353937115769,1.4755071269343083,23757.870000000003,23230.109999999997,23235.3625,28.86026790824443,-4.114302030507888
2026-04-15,24231.3,1.6300620946077649,0.5575433427013912,23979.4,23371.280000000002,23264.969999999998,26.380032464784087,-2.5513056137571044
2026-04-16,24196.75,-0.14258417831481962,1.232190273487148,24019.28,23557.815,23317.2525,22.100981746146292,-2.690252033926255
2026-04-17,24353.55,0.6480209118993274,1.1326890740775049,24134.97,23725.23,23364.49,21.711630006132072,-2.0596645177895723
2026-04-20,24364.85,0.046399806188412995,0.9825629954627321,24197.82,23890.405,23403.675,21.793244786618903,-2.0142203919455426
2026-04-21,24576.6,0.8690798424779933,1.004207254054667,24344.609999999997,24051.239999999998,23443.614999999998,21.69628930366841,-1.1626457328770212
2026-04-22,24378.1,-0.8076788489864373,0.6688380144473904,24373.969999999998,24176.684999999998,23512.4125,22.95961687325772,-1.9609341381903622
2026-04-23,24173.05,-0.8411237955377904,0.7256014445839539,24369.23,24194.254999999997,23565.34,15.063070285536618,-2.7855640500770162
2026-04-24,23897.95,-1.1380442269386726,1.6417726206641094,24278.11,24206.54,23634.605000000003,15.489723626190791,-3.8919073261561077
2026-04-27,24092.7,0.8149234557775831,0.8072984763019504,24223.68,24210.75,23693.620000000003,14.888686687349145,-3.1086999360564915
2026-04-28,23995.7,-0.40261157944107007,0.9366261455177386,24107.5,24226.055,23728.082499999997,14.287286637325112,-3.4987955295849305
2026-04-29,24177.65,0.75826085506987,1.136380086567553,24067.41,24220.69,23795.985,12.124393147693969,-2.767064671414843
2026-04-30,23997.55,-0.7449028338155417,1.210956951855511,24032.31,24200.769999999997,23879.2925,12.660709471848694,-3.491355562079501
