Index Name,Date,Open,High,Low,Close,Daily_Return,Daily_Return_Pct,Price_Change,Intraday_Range,Intraday_Range_Pct,MA_5,MA_10,MA_20,Volatility_10D,Momentum_5D,Lag_1,Lag_2,Lag_3,Lag_5,Lag_10,Target_Next_Day_Up
NIFTY 50,2026-03-02,24659.25,24989.35,24603.5,24865.7,,,,385.84999999999854,1.5517359253911958,,,,,,,,,,,0
NIFTY 50,2026-03-04,24388.8,24602.45,24305.4,24480.5,-0.015491218827541564,-1.5491218827541564,-385.2000000000007,297.0499999999993,1.2134147586854815,,,,,,24865.7,,,,,1
NIFTY 50,2026-03-05,24615.95,24854.2,24529.4,24765.9,0.01165825861399905,1.165825861399905,285.40000000000146,324.7999999999993,1.311480705324657,,,,,,24480.5,24865.7,,,,0
NIFTY 50,2026-03-06,24656.4,24700.8,24415.75,24450.45,-0.012737271813259343,-1.2737271813259343,-315.4500000000007,285.0499999999993,1.1658272138140575,,,,,,24765.9,24480.5,24865.7,,,0
NIFTY 50,2026-03-09,23868.05,24078.15,23697.8,24028.05,-0.017275755660938863,-1.7275755660938863,-422.40000000000146,380.3500000000022,1.5829416036673896,24518.120000000003,,,,,24450.45,24765.9,24480.5,,,1
NIFTY 50,2026-03-10,24280.8,24303.8,24079.95,24261.6,0.009719889878704313,0.9719889878704313,233.54999999999927,223.84999999999854,0.9226514327167151,24397.3,,,,-0.02429451010830186,24028.05,24450.45,24765.9,24865.7,,0
NIFTY 50,2026-03-11,24231.85,24299.0,23834.3,23866.85,-0.016270567481122433,-1.6270567481122433,-394.75,464.7000000000007,1.9470520827004851,24274.57,,,,-0.025066889973652584,24261.6,24028.05,24450.45,24480.5,,0
NIFTY 50,2026-03-12,23674.85,23833.15,23556.3,23639.15,-0.009540429507873815,-0.9540429507873815,-227.6999999999971,276.8500000000022,1.1711504009239002,24049.219999999998,,,,-0.04549602477600245,23866.85,24261.6,24028.05,24765.9,,0
NIFTY 50,2026-03-13,23462.5,23492.4,23112.0,23151.1,-0.020645835404403456,-2.0645835404403456,-488.0500000000029,380.40000000000146,1.6431184695327716,23789.35,,,,-0.05314217120748299,23639.15,23866.85,24261.6,24450.45,,1
NIFTY 50,2026-03-16,23116.1,23502.0,22955.25,23408.8,0.011131220546755971,1.113122054675597,257.7000000000007,546.75,2.3356600936399987,23665.5,24091.81,,,-0.025771962352334032,23151.1,23639.15,23866.85,24028.05,,1
NIFTY 50,2026-03-17,23493.2,23656.8,23346.6,23581.15,0.007362615768429004,0.7362615768429004,172.35000000000218,310.2000000000007,1.3154574734480748,23529.41,23963.355,,21.29687116305396,-0.02804637781514807,23408.8,23151.1,23639.15,24261.6,24865.7,1
NIFTY 50,2026-03-18,23632.9,23862.25,23618.45,23777.8,0.008339287948212704,0.8339287948212704,196.64999999999782,243.79999999999927,1.025326144555002,23511.6,23893.085,,21.434726256199998,-0.003731116590584782,23581.15,23408.8,23151.1,23866.85,24480.5,0
NIFTY 50,2026-03-19,23197.75,23378.7,22930.35,23002.15,-0.03262076390582802,-3.262076390582802,-775.6499999999978,448.3500000000022,1.9491656214745239,23384.2,23716.71,,24.379804759953405,-0.02694682338408949,23777.8,23581.15,23408.8,23639.15,24765.9,1
NIFTY 50,2026-03-20,23110.15,23345.15,23067.6,23114.5,0.004884326030392794,0.4884326030392794,112.34999999999854,277.5500000000029,1.2007614268100237,23376.879999999997,23583.115,,24.869947614158146,-0.0015809184012853805,23002.15,23777.8,23581.15,23151.1,24450.45,0
NIFTY 50,2026-03-23,22824.35,22851.7,22471.25,22512.65,-0.026037768500291936,-2.6037768500291936,-601.8499999999985,380.4500000000007,1.6899387677594628,23197.65,23431.575,,26.375797400789384,-0.038282611667406985,23114.5,23002.15,23777.8,23408.8,24028.05,1
NIFTY 50,2026-03-24,22878.45,23057.3,22624.2,22912.4,0.017756683464629885,1.7756683464629885,399.75,433.09999999999854,1.8902428379392753,23063.9,23296.655,,28.006494255505356,-0.028359515969322957,22512.65,23114.5,23002.15,23581.15,24261.6,1
NIFTY 50,2026-03-25,23064.4,23465.35,23063.2,23306.45,0.017198111066496713,1.7198111066496713,394.0499999999993,402.1499999999978,1.7254880086842819,22969.629999999997,23240.615,,29.427487676769786,-0.019823112314848235,22912.4,22512.65,23114.5,23777.8,23866.85,0
NIFTY 50,2026-03-27,23173.55,23186.1,22804.55,22819.6,-0.020889067189554966,-2.0889067189554966,-486.8500000000022,381.5499999999993,1.6720275552595107,22933.120000000003,23158.659999999996,,30.740413419124945,-0.007936214658195162,23306.45,22912.4,22512.65,23002.15,23639.15,0
NIFTY 50,2026-03-30,22549.65,22714.1,22283.85,22331.4,-0.02139388946344356,-2.139388946344356,-488.1999999999971,430.25,1.926659322747342,22776.5,23076.690000000002,,30.860306998167967,-0.033879166756797585,22819.6,23306.45,22912.4,23114.5,23151.1,1
NIFTY 50,2026-04-01,22899.0,22941.3,22618.6,22679.4,0.015583438566323604,1.5583438566323604,348.0,322.7000000000007,1.4228771484254463,22809.85,23003.75,23547.78,31.522226026109145,0.007406946761043143,22331.4,22819.6,23306.45,22512.65,23408.8,1
NIFTY 50,2026-04-02,22383.4,22782.3,22182.55,22713.1,0.0014859299628737777,0.14859299628737777,33.69999999999709,599.75,2.640546644887752,22769.99,22916.945,23440.15,31.11769738363553,-0.00869834674673986,22679.4,22331.4,22819.6,22912.4,23581.15,1
NIFTY 50,2026-04-06,22780.3,22998.35,22542.95,22968.25,0.01123360527625028,1.123360527625028,255.15000000000146,455.3999999999978,1.9827370391736325,22702.35,22835.99,23364.5375,31.459877278558945,-0.014511004464429433,22713.1,22679.4,22331.4,23306.45,23777.8,1
NIFTY 50,2026-04-07,22838.7,23153.85,22719.3,23123.65,0.006765861569775655,0.6765861569775655,155.40000000000146,434.5499999999993,1.8792448424016073,22763.16,22848.14,23282.425,27.083147197004152,0.013324072288734445,22968.25,22713.1,22679.4,22819.6,23002.15,1
NIFTY 50,2026-04-08,23855.15,24025.15,23828.5,23997.35,0.037783827380192925,3.7783827380192925,873.6999999999971,196.65000000000146,0.8194654826470483,23096.35,22936.425,23259.77,32.925783856316635,0.0746012341366864,23123.65,22968.25,22713.1,22331.4,23114.5,0
NIFTY 50,2026-04-09,23909.05,23990.75,23682.8,23775.1,-0.00926143928392098,-0.926143928392098,-222.25,307.9500000000007,1.2952626907983595,23315.489999999998,23062.670000000002,23247.1225,29.551928605259565,0.048312565588154666,23997.35,23123.65,22968.25,22679.4,22512.65,1
NIFTY 50,2026-04-10,23880.55,24074.05,23856.35,24050.6,0.011587753574117565,1.1587753574117565,275.5,217.70000000000073,0.9051749228709502,23582.99,23176.489999999998,23236.572500000002,29.000015675810253,0.05888672175968934,23775.1,23997.35,23123.65,22713.1,22912.4,0
NIFTY 50,2026-04-13,23589.6,23907.4,23555.6,23842.65,-0.00864635393711577,-0.8646353937115769,-207.9499999999971,351.8000000000029,1.4755071269343083,23757.870000000003,23230.109999999997,23235.3625,28.86026790824443,0.03806994437974165,24050.6,23775.1,23997.35,22968.25,23306.45,1
NIFTY 50,2026-04-15,24163.8,24280.9,24145.8,24231.3,0.01630062094607765,1.6300620946077649,388.6499999999978,135.10000000000218,0.5575433427013912,23979.4,23371.280000000002,23264.969999999998,26.380032464784087,0.04790117477128386,23842.65,24050.6,23775.1,23123.65,22819.6,0
NIFTY 50,2026-04-16,24385.2,24400.95,24102.8,24196.75,-0.0014258417831481962,-0.14258417831481962,-34.54999999999927,298.15000000000146,1.232190273487148,24019.28,23557.815,23317.2525,22.100981746146292,0.008309250813110625,24231.3,23842.65,24050.6,23997.35,22331.4,1
NIFTY 50,2026-04-17,24165.9,24371.9,24096.05,24353.55,0.006480209118993274,0.6480209118993274,156.79999999999927,275.8500000000022,1.1326890740775049,24134.97,23725.23,23364.49,21.711630006132072,0.024330076424494473,24196.75,24231.3,23842.65,23775.1,22679.4,1
NIFTY 50,2026-04-20,24391.5,24480.65,24241.25,24364.85,0.00046399806188412995,0.046399806188412995,11.299999999999272,239.40000000000146,0.9825629954627321,24197.82,23890.405,23403.675,21.793244786618903,0.013066202090592283,24353.55,24196.75,24231.3,24050.6,22713.1,1
NIFTY 50,2026-04-21,24374.55,24601.7,24354.9,24576.6,0.008690798424779933,0.8690798424779933,211.75,246.79999999999927,1.004207254054667,24344.609999999997,24051.239999999998,23443.614999999998,21.69628930366841,0.030783071512604288,24364.85,24353.55,24196.75,23842.65,22968.25,0
NIFTY 50,2026-04-22,24470.85,24515.95,24352.9,24378.1,-0.008076788489864373,-0.8076788489864373,-198.5,163.04999999999927,0.6688380144473904,24373.969999999998,24176.684999999998,23512.4125,22.95961687325772,0.00605827999323183,24576.6,24364.85,24353.55,24231.3,23123.65,0
NIFTY 50,2026-04-23,24202.35,24310.2,24134.8,24173.05,-0.008411237955377904,-0.8411237955377904,-205.04999999999927,175.40000000000146,0.7256014445839539,24369.23,24194.254999999997,23565.34,15.063070285536618,-0.0009794703834192786,24378.1,24576.6,24364.85,24196.75,23997.35,0
NIFTY 50,2026-04-24,24100.55,24206.0,23813.65,23897.95,-0.011380442269386726,-1.1380442269386726,-275.09999999999854,392.34999999999854,1.6417726206641094,24278.11,24206.54,23634.605000000003,15.489723626190791,-0.01870774486676474,24173.05,24378.1,24576.6,24353.55,23775.1,1
NIFTY 50,2026-04-27,23945.45,24130.7,23936.2,24092.7,0.00814923455777583,0.8149234557775831,194.75,194.5,0.8072984763019504,24223.68,24210.75,23693.620000000003,14.888686687349145,-0.011169779415838743,23897.95,24173.05,24378.1,24364.85,24050.6,0
NIFTY 50,2026-04-28,24049.9,24181.8,23957.05,23995.7,-0.004026115794410701,-0.40261157944107007,-97.0,224.75,0.9366261455177386,24107.5,24226.055,23728.082499999997,14.287286637325112,-0.02363630445220244,24092.7,23897.95,24173.05,24576.6,23842.65,1
NIFTY 50,2026-04-29,24096.9,24334.7,24059.95,24177.65,0.0075826085506986995,0.75826085506987,181.95000000000073,274.75,1.136380086567553,24067.41,24220.69,23795.985,12.124393147693969,-0.008222544004659826,23995.7,24092.7,23897.95,24378.1,24231.3,0
NIFTY 50,2026-04-30,23996.95,24087.45,23796.85,23997.55,-0.007449028338155417,-0.7449028338155417,-180.10000000000218,290.6000000000022,1.210956951855511,24032.31,24200.769999999997,23879.2925,12.660709471848694,-0.007260151284178007,24177.65,23995.7,24092.7,24173.05,24196.75,1
NIFTY 50,2026-05-04,24063.55,24290.2,24004.75,24119.3,0.005073434579780045,0.5073434579780045,121.75,285.4500000000007,1.183492058227232,24076.579999999998,24177.345,23951.2875,12.452260972761923,0.009262300741276874,23997.55,24177.65,23995.7,23897.95,24353.55,0
NIFTY 50,2026-05-05,24052.6,24081.7,23882.05,24032.8,-0.003586339570385566,-0.3586339570385566,-86.5,199.65000000000146,0.830739655803741,24064.6,24144.14,24017.2725,12.49048130433218,-0.002486230268919698,24119.3,23997.55,24177.65,24092.7,24364.85,1
NIFTY 50,2026-05-06,24171.0,24356.5,23997.9,24330.95,0.012405961852135494,1.2405961852135494,298.15000000000146,358.59999999999854,1.4738429859910875,24131.65,24119.575,24085.407499999998,13.43005498524229,0.013971253182861965,24032.8,24119.3,23997.55,23995.7,24576.6,0
NIFTY 50,2026-05-07,24398.5,24482.1,24284.0,24326.65,-0.00017672963858783586,-0.017672963858783586,-4.299999999999272,198.09999999999854,0.8143332518040853,24161.45,24114.43,24145.557500000003,12.832051409370429,0.0061627163930324524,24330.95,24032.8,24119.3,24177.65,24378.1,0
NIFTY 50,2026-05-08,24233.65,24253.8,24126.65,24176.15,-0.006186630711585872,-0.6186630711585872,-150.5,127.14999999999782,0.5259315482407159,24197.170000000002,24114.739999999998,24154.4975,12.476244317534952,0.007442426414363323,24326.65,24330.95,24032.8,23997.55,24173.05,0
NIFTY 50,2026-05-11,23970.1,23997.45,23799.1,23815.85,-0.014903117328441629,-1.4903117328441629,-360.3000000000029,198.35000000000218,0.8328487120972049,24136.480000000003,24106.530000000002,24156.535,13.46529090048282,-0.012581210897497086,24176.15,24326.65,24330.95,24119.3,23897.95,0
