,count,mean,median,std,min,25%,50%,75%,max
Open,124.0,23924.787499999995,24057.175,490.83020558688446,22383.4,23669.9875,24057.175,24237.625,24703.9
High,124.0,24043.540725806455,24135.1,454.16520419098924,22714.1,23830.7625,24135.1,24318.3875,24989.35
Low,124.0,23802.94717741936,23930.95,517.9874608184441,22182.55,23556.125,23930.95,24136.074999999997,24604.15
Close,124.0,23923.809677419355,24029.875,494.7875570924896,22331.4,23653.5125,24029.875,24241.425,24865.7
Daily_Return_Pct,123.0,-0.021867708675250817,-0.018174901728729154,1.0085606954927275,-3.262076390582802,-0.5060439752470447,-0.018174901728729154,0.6123724269811004,3.7783827380192925
Intraday_Range_Pct,124.0,1.0116269016838932,0.8862755805160327,0.4842914781985755,0.29590842669263606,0.6098430883041802,0.8862755805160327,1.299317194429934,2.640546644887752
