Date,Actual_Next_Day_Close,Predicted_Next_Day_Close,Absolute_Error
2026-08-03,24614.9,24626.869284529344,11.969284529342985
2026-08-04,24624.65,24363.291764270525,261.3582357294763
2026-08-05,24636.0,24376.11366218614,259.8863378138594
2026-08-06,24570.65,24443.036120726894,127.61387927310716
2026-08-07,24583.8,24423.70422760125,160.09577239874852
2026-08-10,24471.7,24368.014258797986,103.68574120201447
2026-08-11,24435.95,24277.195269988337,158.75473001166392
2026-08-12,24395.85,24146.584566928217,249.26543307178144
2026-08-13,24366.0,24156.07282689999,209.92717310001171
2026-08-14,24287.65,24180.9579624049,106.69203759510128
2026-08-17,24154.9,24111.188618159416,43.71138184058509
2026-08-18,24078.3,24070.147606968858,8.1523930311414
2026-08-19,24231.85,23946.081606469812,285.7683935301866
2026-08-20,24252.0,24086.49090808878,165.509091911219
2026-08-21,24219.05,24078.3421959228,140.7078040771994
2026-08-24,24334.55,24089.28638340781,245.26361659219037
2026-08-25,24207.75,24192.966017827115,14.783982172884862
2026-08-26,24090.85,24154.56691983075,63.716919830752886
2026-08-27,24175.65,24046.357954032675,129.29204596732598
2026-08-28,24080.4,24026.423091400917,53.97690859908471
2026-08-31,24055.8,23917.299146928002,138.50085307199697
