Metric,Value
Count,66.0
Mean Close,1302.7484848484848
Median Close,1307.8
Std Dev Close,19.42786454415205
Minimum Close,1258.8
Maximum Close,1334.8
Mean Daily Return (%),-0.006076011179789895
Median Daily Return (%),0.03835826620637306
Daily Return Std Dev (%),1.177309946146133
Total Period Return (%),-0.8333333333333304
Up Days,33.0
Down Days,32.0
Best Day (%),3.515625
Worst Day (%),-2.4839498624273926
Annualized Volatility (%),18.689216001273085
